Original Title,Company,Rate,Metascore,Minutes,Release,Budget,Opening Weekend USA,Gross†USA,Gross Worldwide,Super Hero
Iron Man,Marvel,7.9,79,126,2008,140000000,98618668,318604126,585366247,Iron Man
The Incredible Hulk,Marvel,6.7,61,112,2008,150000000,55414050,134806913,263427551,Hulk
Iron Man 2,Marvel,7,57,124,2010,200000000,128122480,312433331,623933331,Iron Man
Thor,Marvel,7,57,115,2011,150000000,65723338,181030624,449326618,Thor
Captain America: The First Avenger,Marvel,6.9,66,124,2011,140000000,65058524,176654505,370569774,Captian America
The Avengers,Marvel,8,69,143,2012,220000000,207438708,623357910,1518812988,Avengers
Iron Man Three,Marvel,7.2,62,130,2013,200000000,174144585,409013994,1214811252,Iron Man
Thor: The Dark World,Marvel,6.9,54,112,2013,170000000,85737841,206362140,644783140,Thor
Captain America: The Winter Soldier,Marvel,7.7,70,136,2014,170000000,95023721,259766572,714421503,Captian America
Guardians of the Galaxy,Marvel,8,76,121,2014,170000000,94320883,333176600,772776600,Guardians of the Galaxy
Avengers: Age of Ultron,Marvel,7.3,66,141,2015,250000000,191271109,459005868,1402805868,Avengers
Ant-Man,Marvel,7.3,64,117,2015,130000000,57225526,180202163,519311965,Ant Man
Captain America: Civil War,Marvel,7.8,75,147,2016,250000000,179139142,408084349,1153296293,Captian America
Doctor Strange,Marvel,7.5,72,115,2016,165000000,85058311,232641920,677718395,Doctor Strange
Guardians of the Galaxy Vol. 2,Marvel,7.6,67,136,2017,200000000,146510104,389813101,863756051,Guardians of the Galaxy
Spider-Man: Homecoming,Marvel,7.4,73,133,2017,175000000,117027503,334201140,880166924,Spider-Man
Thor:Ragnarok,Marvel,7.9,74,130,2017,180000000,122744989,315058289,853977126,Thor
Black Panther,Marvel,7.3,88,134,2018,200000000,202003951,700059566,1346913161,Black Panther
Avengers: Infinity War,Marvel,8.5,68,149,2018,321000000,257698183,678815482,2048359754,Avengers
Ant-Man and the Wasp,Marvel,7.1,70,118,2018,162000000,75812205,216648740,622674139,Ant Man
Captain Marvel,Marvel,6.9,64,123,2019,175000000,153433423,426829839,1128274794,Captian Marvel
Avengers: Endgame,Marvel,8.5,78,181,2019,356000000,357115007,858373000,2797800564,Avengers
Spider-Man: Far from Home,Marvel,7.6,69,129,2019,160000000,92579212,390532085,1131927996,Spider-Man
Catwoman,DC,3.3,27,104,2004,100000000,16728411,40202379,82102379,Catwoman
Batman Begins,DC,8.2,70,140,2005,150000000,48745440,206852432,373413297,Batman
Superman Returns,DC,6,72,154,2006,270000000,52535096,200081192,391081192,Superman
The Dark Knight,DC,9,84,152,2008,185000000,158411483,535234033,1004934033,Batman
Watchmen,DC,7.6,56,162,2009,130000000,55214334,107509799,185258983,Watchmen
Green Lantern,DC,5.5,39,114,2011,200000000,53174303,116601172,219851172,Green Lantern
The Dark Knight Rises,DC,8.4,78,164,2012,250000000,160887295,448139099,1081041287,Batman
Man of Steel,DC,7.1,55,143,2013,225000000,116619362,291045518,668045518,Superman
Wonder Woman,DC,7.4,76,141,2017,149000000,103251471,412563408,821847012,Wonder Woman
Justice League,DC,6.4,45,120,2017,300000000,93842239,229024295,657924295,Justice League
Aquaman,DC,7,55,143,2018,160000000,67873522,335061807,1148161807,Aquaman
Shazam!,DC,7.1,71,132,2019,100000000,53505326,140371656,364571656,Shazam